"Complexity","Time in ms","Count"
1,0.092,2
7,0.131,2
13,0.176,2
19,0.267,2
25,0.308,2
31,0.412,2
37,0.421,2
43,0.509,2
49,0.82,2
55,0.466,2
61,0.481,2
67,0.394,2
73,0.442,2
79,0.453,2
85,0.515,2
91,0.58,2
97,0.646,2
103,0.651,2
109,0.709,2
115,0.552,2
121,0.401,2
127,0.426,2
133,0.443,2
139,0.438,2
145,0.442,2
151,0.451,2
157,0.509,2
163,0.603,2
169,0.518,2
175,0.537,2
181,0.556,2
187,0.572,2
193,0.581,2
199,0.601,2
205,0.62,2
211,0.65,2
217,0.703,2
223,0.936,2
229,0.959,2
235,0.817,2
241,0.81,2
247,0.859,2
253,0.886,2
259,1.094,2
265,0.919,2
271,0.993,2
277,0.917,2
283,0.889,2
289,0.994,2
295,0.993,2
301,0.957,2
307,0.989,2
313,1.004,2
319,1.135,2
325,2.295,2
331,2.45,2
337,1.418,2
343,1.335,2
349,1.253,2
355,1.243,2
361,1.277,2
367,1.258,2
373,1.26,2
379,1.46,2
385,2.935,2
391,1.431,2
397,1.532,2
403,1.511,2
409,1.626,2
415,1.515,2
421,1.438,2
427,1.466,2
433,1.482,2
439,28.265,2
445,13.869,2
451,0.713,2
457,0.732,2
463,0.703,2
469,0.688,2
475,0.697,2
481,0.699,2
487,0.694,2
493,0.716,2
499,0.73,2
505,0.719,2
511,0.744,2
517,0.773,2
523,0.752,2
529,1.156,2
535,0.808,2
541,0.809,2
547,0.8,2
553,0.824,2
559,0.851,2
565,0.864,2
571,0.851,2
577,0.863,2
583,0.861,2
589,0.878,2
595,0.899,2
601,0.845,2
607,0.856,2
613,0.922,2
619,0.882,2
625,0.881,2
631,0.92,2
637,0.949,2
643,1.239,2
649,1.098,2
655,1.052,2
661,0.976,2
667,0.961,2
673,0.988,2
679,1.017,2
685,1.161,2
691,1.0,2
697,1.034,2
703,1.029,2
709,1.025,2
715,1.038,2
721,1.037,2
727,1.057,2
733,1.23,2
739,1.446,2
745,1.299,2
751,1.289,2
757,1.136,2
763,1.121,2
769,1.173,2
775,1.136,2
781,1.219,2
787,1.19,2
793,1.271,2
799,1.213,2
805,1.253,2
811,1.455,2
817,1.49,2
823,1.265,2
829,1.276,2
835,1.341,2
841,1.274,2
847,1.304,2
853,1.26,2
859,1.294,2
865,1.34,2
871,1.293,2
877,1.286,2
883,1.315,2
889,1.639,2
895,2.278,2
901,2.172,2
907,2.29,2
913,2.107,2
919,1.379,2
925,1.395,2
931,1.396,2
937,1.429,2
943,1.595,2
949,1.723,2
955,1.816,2
961,1.572,2
967,1.549,2
973,1.544,2
979,1.528,2
985,1.501,2
991,1.558,2
997,1.495,2
1003,1.529,2
1009,1.668,2
1015,1.732,2
1021,1.666,2
1027,1.706,2
1033,1.617,2
1039,1.608,2
1045,1.605,2
1051,1.621,2
1057,1.706,2
1063,1.665,2
1069,2.525,2
1075,2.683,2
1081,1.697,2
1087,1.654,2
1093,1.668,2
1099,1.683,2
1105,1.688,2
1111,1.775,2
1117,1.785,2
1123,1.849,2
1129,1.841,2
1135,1.794,2
1141,1.802,2
1147,1.771,2
1153,1.78,2
1159,1.86,2
1165,1.839,2
1171,1.862,2
1177,3.116,2
1183,3.176,2
1189,3.199,2
1195,3.12,2
1201,2.191,2
1207,2.064,2
1213,1.984,2
1219,1.976,2
1225,1.922,2
1231,1.959,2
1237,1.982,2
1243,2.104,2
1249,2.044,2
1255,1.979,2
1261,3.264,2
1267,3.443,2
1273,3.322,2
1279,3.48,2
1285,3.4,2
1291,3.212,2
1297,2.581,2
1303,2.062,2
1309,2.043,2
1315,13.957,2
1321,2.971,2
1327,3.74,2
1333,3.764,2
1339,2.542,2
1345,2.447,2
1351,2.279,2
1357,2.161,2
1363,2.267,2
1369,2.171,2
1375,2.351,2
1381,2.291,2
1387,2.341,2
1393,23.715,2
1399,3.262,2
1405,3.493,2
1411,3.426,2
1417,2.149,2
1423,2.094,2
1429,2.147,2
1435,2.114,2
1441,2.308,2
1447,2.157,2
1453,2.312,2
1459,2.183,2
1465,2.206,2
1471,2.128,2
1477,2.22,2
1483,2.148,2
1489,2.429,2
1495,2.286,2
1501,2.189,2
1507,2.219,2
1513,2.188,2
1519,2.236,2
1525,2.208,2
1531,2.371,2
1537,2.524,2
1543,2.318,2
1549,2.27,2
1555,2.26,2
1561,2.269,2
1567,2.477,2
1573,2.43,2
1579,2.539,2
1585,2.465,2
1591,2.27,2
1597,2.334,2
1603,2.348,2
1609,2.266,2
1615,3.026,2
1621,2.688,2
1627,2.494,2
1633,2.405,2
1639,2.452,2
1645,2.356,2
1651,2.492,2
1657,3.332,2
1663,2.574,2
1669,2.4,2
1675,2.406,2
1681,2.414,2
1687,2.473,2
1693,2.941,2
1699,2.747,2
1705,2.576,2
1711,2.729,2
1717,2.535,2
1723,2.534,2
1729,2.774,2
1735,2.838,2
1741,2.529,2
1747,2.587,2
1753,2.819,2
1759,2.546,2
1765,2.976,2
1771,2.877,2
1777,2.694,2
1783,2.567,2
1789,2.57,2
1795,2.657,2
1801,2.635,2
1807,2.906,2
1813,2.968,2
1819,2.618,2
1825,2.605,2
1831,15.817,2
1837,2.929,2
1843,2.864,2
1849,3.002,2
1855,3.029,2
1861,2.989,2
1867,2.752,2
1873,2.805,2
1879,2.911,2
1885,2.915,2
1891,3.176,2
1897,2.823,2
1903,3.001,2
1909,2.822,2
1915,2.968,2
1921,3.109,2
1927,2.927,2
1933,2.907,2
1939,2.921,2
1945,3.006,2
1951,3.106,2
1957,3.053,2
1963,3.009,2
1969,3.095,2
1975,2.912,2
1981,3.235,2
1987,3.196,2
1993,3.023,2
1999,3.117,2
2005,2.926,2
2011,3.301,2
2017,3.163,2
2023,3.259,2
2029,3.111,2
2035,2.936,2
2041,3.094,2
2047,3.372,2
2053,3.174,2
2059,3.283,2
2065,3.019,2
2071,2.989,2
2077,3.41,2
2083,3.584,2
2089,3.193,2
2095,3.121,2
2101,3.098,2
2107,3.599,2
2113,3.805,2
2119,3.116,2
2125,3.142,2
2131,3.112,2
2137,3.554,2
2143,3.564,2
2149,3.226,2
2155,3.135,2
2161,3.174,2
2167,3.622,2
2173,3.595,2
2179,3.303,2
2185,3.199,2
2191,3.176,2
2197,3.76,2
2203,3.607,2
2209,3.399,2
2215,3.411,2
2221,3.348,2
2227,4.121,2
2233,3.349,2
2239,3.322,2
2245,3.283,2
2251,3.678,2
2257,3.837,2
2263,3.429,2
2269,3.4,2
2275,3.414,2
2281,15.423,2
2287,3.743,2
2293,3.698,2
2299,3.613,2
2305,3.588,2
2311,16.26,2
2317,3.511,2
2323,3.607,2
2329,3.578,2
2335,3.695,2
2341,3.69,2
2347,3.642,2
2353,3.911,2
2359,3.623,2
2365,3.756,2
2371,3.541,2
2377,3.969,2
2383,3.801,2
2389,3.69,2
2395,3.604,2
2401,3.742,2
2407,4.018,2
2413,3.834,2
2419,3.618,2
2425,3.596,2
2431,4.332,2
2437,4.051,2
2443,3.654,2
2449,3.634,2
2455,4.342,2
2461,4.34,2
2467,4.055,2
2473,3.93,2
2479,4.115,2
2485,3.894,2
2491,3.95,2
2497,3.785,2
2503,4.119,2
2509,4.009,2
2515,3.878,2
2521,3.838,2
2527,4.3,2
2533,4.61,2
2539,3.947,2
2545,3.94,2
2551,4.171,2
2557,4.262,2
2563,3.83,2
2569,3.826,2
2575,4.353,2
2581,6.119,2
2587,4.012,2
2593,4.206,2
2599,5.131,2
2605,4.184,2
2611,4.1,2
2617,4.005,2
2623,5.316,2
2629,4.56,2
2635,4.129,2
2641,19.028,2
2647,11.146,2
2653,4.444,2
2659,4.556,2
2665,4.21,2
2671,4.302,2
2677,4.286,2
2683,4.244,2
2689,4.211,2
2695,4.464,2
2701,4.374,2
2707,4.332,2
2713,4.663,2
2719,4.53,2
2725,4.441,2
2731,4.291,2
2737,4.348,2
2743,4.187,2
2749,5.008,2
2755,4.632,2
2761,4.174,2
2767,4.632,2
2773,4.52,2
2779,4.499,2
2785,4.394,2
2791,4.906,2
2797,4.631,2
2803,4.334,2
2809,4.412,2
2815,5.082,2
2821,4.58,2
2827,4.656,2
2833,4.78,2
2839,4.788,2
2845,4.331,2
2851,4.398,2
2857,4.97,2
2863,4.941,2
2869,4.371,2
2875,4.877,2
2881,6.033,2
2887,4.541,2
2893,4.551,2
2899,4.82,2
2905,4.657,2
2911,4.68,2
2917,6.154,2
2923,5.651,2
2929,4.685,2
2935,17.965,2
2941,6.45,2
2947,4.935,2
2953,4.88,2
2959,4.836,2
2965,5.039,2
2971,4.792,2
2977,4.937,2
2983,4.762,2
2989,4.873,2
2995,5.209,2
